t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.66,0.0,-35.644,0.0,100.0,64.356,100.0,0.0,13.200000000000001,0.0,0.0,20.0,0.0,64.80238247385228,-64.80238247385228,59.99999999999999,-59.99999999999999,51.18886952949453,-68.08412754086241
0.67,0.0,-35.510999999999996,0.0,100.0,64.489,100.0,0.0,13.4,0.0,0.0,20.0,0.0,64.78483598361558,-64.78483598361558,59.99999999999999,-59.99999999999999,51.22263621250313,-68.05575686977556
0.68,0.0,-35.376,0.0,100.0,64.624,100.0,0.0,13.600000000000001,0.0,0.0,20.0,0.0,64.76702304831637,-64.76702304831637,59.99999999999999,-59.99999999999999,51.25690559461083,-68.0269443030861
0.6900000000000001,0.0,-35.239,0.0,100.0,64.761,100.0,0.0,13.8,0.0,0.0,20.0,0.0,64.74894354913909,-64.74894354913909,59.99999999999999,-59.99999999999999,51.291677428859316,-67.99768917372074
0.7000000000000001,0.0,-35.1,0.0,100.0,64.9,100.0,0.0,14.000000000000002,0.0,0.0,20.0,0.0,64.73059736528737,-64.73059736528737,59.99999999999999,-59.99999999999999,51.326951463142294,-67.96799080597945
0.71,0.0,-34.959,0.0,100.0,65.041,100.0,0.0,14.2,0.0,0.0,20.0,0.0,64.71198437397403,-64.71198437397403,59.99999999999999,-59.99999999999999,51.362727440138485,-67.93784851559337
0.72,0.0,-34.816,0.0,100.0,65.184,100.0,0.0,14.399999999999999,0.0,0.0,20.0,0.0,64.69310445041081,-64.69310445041081,59.99999999999999,-59.99999999999999,51.39900509724339,-67.90726160978375
0.73,0.0,-34.671,0.0,100.0,65.32900000000001,100.0,0.0,14.6,0.0,0.0,20.0,0.0,64.67395746779786,-64.67395746779786,59.99999999999999,-59.99999999999999,51.43578416650017,-67.87622938732197
0.74,0.0,-34.524,0.0,100.0,65.476,100.0,0.0,14.8,0.0,0.0,20.0,0.0,64.65454329731325,-64.65454329731325,59.99999999999999,-59.99999999999999,51.47306437452931,-67.8447511385907
0.75,0.0,-34.375,0.0,100.0,65.625,100.0,0.0,15.0,0.0,0.0,20.0,0.0,64.63486180810212,-64.63486180810212,59.99999999999999,-59.99999999999999,51.510845442457274,-67.81282614564579
0.76,0.0,-34.224000000000004,0.0,100.0,65.776,100.0,0.0,15.2,0.0,0.0,20.0,0.0,64.6149128672657,-64.6149128672657,59.99999999999999,-59.99999999999999,51.549127085844134,-67.7804536822796
0.77,0.0,-34.071,0.0,100.0,65.929,100.0,0.0,15.4,0.0,0.0,20.0,0.0,64.59469633985027,-64.59469633985027,59.99999999999999,-59.99999999999999,51.587909014609934,-67.74763301408508
0.78,0.0,-33.916,0.0,100.0,66.084,100.0,0.0,15.600000000000001,0.0,0.0,20.0,0.0,64.57421208883567,-64.57421208883567,59.99999999999999,-59.99999999999999,51.62719093296019,-67.71436339852113
0.79,0.0,-33.759,0.0,100.0,66.241,100.0,0.0,15.8,0.0,0.0,20.0,0.0,64.55345997512396,-64.55345997512396,59.99999999999999,-59.99999999999999,51.66697253931015,-67.68064408497894
0.8,0.0,-33.6,0.0,100.0,66.4,100.0,0.0,16.0,0.0,0.0,20.0,0.0,64.53243985752763,-64.53243985752763,59.99999999999999,-59.99999999999999,51.707253526208056,-67.64647431484933
0.81,0.0,-33.439,0.0,100.0,66.561,100.0,0.0,16.200000000000003,0.0,0.0,20.0,0.0,64.51115159275778,-64.51115159275778,59.99999999999999,-59.99999999999999,51.74803358025721,-67.61185332159141
0.8200000000000001,0.0,-33.275999999999996,0.0,100.0,66.724,100.0,0.0,16.400000000000002,0.0,0.0,20.0,0.0,64.489595035412,-64.489595035412,59.99999999999999,-59.99999999999999,51.789312382037046,-67.57678033080208
0.8300000000000001,0.0,-33.111,0.0,100.0,66.88900000000001,100.0,0.0,16.6,0.0,0.0,20.0,0.0,64.46777003796211,-64.46777003796211,59.99999999999999,-59.99999999999999,51.83108960602307,-67.54125456028683
0.84,0.0,-32.944,0.0,100.0,67.056,100.0,0.0,16.8,0.0,0.0,20.0,0.0,64.44567645074184,-64.44567645074184,59.99999999999999,-59.99999999999999,51.873364920505686,-67.50527522013151
0.85,0.0,-32.775,0.0,100.0,67.225,100.0,0.0,17.0,0.0,0.0,20.0,0.0,64.42331412193406,-64.42331412193406,59.99999999999999,-59.99999999999999,51.91613798750795,-67.46884151277537
0.86,0.0,-32.604,0.0,100.0,67.396,100.0,0.0,17.2,0.0,0.0,20.0,0.0,64.40068289755797,-64.40068289755797,59.99999999999999,-59.99999999999999,51.95940846270216,-67.43195263308507
0.87,0.0,-32.431,0.0,100.0,67.569,100.0,0.0,17.4,0.0,0.0,20.0,0.0,64.37778262145618,-64.37778262145618,59.99999999999999,-59.99999999999999,52.00317599532541,-67.39460776842986
0.88,0.0,-32.256,0.0,100.0,67.744,100.0,0.0,17.6,0.0,0.0,20.0,0.0,64.35461313528133,-64.35461313528133,59.99999999999999,-59.99999999999999,52.047440228094025,-67.35680609875806
0.89,0.0,-32.079,0.0,100.0,67.92099999999999,100.0,0.0,17.8,0.0,0.0,20.0,0.0,64.33117427848278,-64.33117427848278,59.99999999999999,-59.99999999999999,52.09220079711686,-67.31854679667438
0.9,0.0,-31.9,0.0,100.0,68.1,100.0,0.0,18.0,0.0,0.0,20.0,0.0,64.30746588829304,-64.30746588829304,59.99999999999999,-59.99999999999999,52.13745733180749,-67.27982902751879
0.91,0.0,-31.719,0.0,100.0,68.281,100.0,0.0,18.2,0.0,0.0,20.0,0.0,64.28348779971378,-64.28348779971378,59.99999999999999,-59.99999999999999,52.18320945479526,-67.24065194944615
0.92,0.0,-31.536,0.0,100.0,68.464,100.0,0.0,18.400000000000002,0.0,0.0,20.0,0.0,64.25923984550194,-64.25923984550194,59.99999999999999,-59.99999999999999,52.22945678183536,-67.20101471350726
0.93,0.0,-31.351,0.0,100.0,68.649,100.0,0.0,18.6,0.0,0.0,20.0,0.0,64.23472185615546,-64.23472185615546,59.99999999999999,-59.99999999999999,52.276198921717594,-67.16091646373113
0.9400000000000001,0.0,-31.163999999999998,0.0,100.0,68.836,100.0,0.0,18.8,0.0,0.0,20.0,0.0,64.20993365989887,-64.20993365989887,59.99999999999999,-59.99999999999999,52.323435476174126,-67.12035633720815
0.9500000000000001,0.0,-30.975,0.0,100.0,69.025,100.0,0.0,19.0,0.0,0.0,20.0,0.0,64.18487508266855,-64.18487508266855,59.99999999999999,-59.99999999999999,52.37116603978619,-67.07933346417474
0.96,0.0,-30.784,0.0,100.0,69.21600000000001,100.0,0.0,19.2,0.0,0.0,20.0,0.0,64.159545948098,-64.159545948098,59.99999999999999,-59.99999999999999,52.41939019988946,-67.03784696809909
0.97,0.0,-30.591,0.0,100.0,69.40899999999999,100.0,0.0,19.4,0.0,0.0,20.0,0.0,64.13394607750269,-64.13394607750269,59.99999999999999,-59.99999999999999,52.46810753647858,-66.99589596576807
0.98,0.0,-30.396,0.0,100.0,69.604,100.0,0.0,19.6,0.0,0.0,20.0,0.0,64.10807528986476,-64.10807528986476,59.99999999999999,-59.99999999999999,52.51731762211029,-66.95347956737538
0.99,0.0,-30.198999999999998,0.0,100.0,69.801,100.0,0.0,19.8,0.0,0.0,20.0,0.0,64.0819334018176,-64.0819334018176,59.99999999999999,-59.99999999999999,52.5670200218057,-66.91059687661098
1.0,0.0,-30.0,0.0,100.0,70.0,100.0,0.0,20.0,0.0,0.0,20.0,0.0,64.05552022763003,-64.05552022763003,59.99999999999999,-59.99999999999999,52.61721429295124,-66.86724699075161
1.01,0.0,-29.799,0.0,100.0,70.201,100.0,0.0,20.2,0.0,0.0,20.0,0.0,64.02883557919041,-64.02883557919041,59.99999999999999,-59.99999999999999,52.66789998519856,-66.82342900075274
1.02,0.0,-29.596,0.0,100.0,70.404,100.0,0.0,20.4,0.0,0.0,20.0,0.0,64.0018792659905,-64.0018792659905,59.99999999999999,-59.99999999999999,52.719076640363355,-66.77914199134152
1.03,0.0,-29.391,0.0,100.0,70.60900000000001,100.0,0.0,20.6,0.0,0.0,20.0,0.0,63.974651095108975,-63.974651095108975,59.99999999999999,-59.99999999999999,52.77074379232299,-66.73438504111118
1.04,0.0,-29.183999999999997,0.0,100.0,70.816,100.0,0.0,20.8,0.0,0.0,20.0,0.0,63.947150871194886,-63.947150871194886,59.99999999999999,-59.99999999999999,52.822900966913075,-66.6891572226166
1.05,0.0,-28.975,0.0,100.0,71.025,100.0,0.0,21.0,0.0,0.0,20.0,0.0,63.91937839645079,-63.91937839645079,59.99999999999999,-59.99999999999999,52.87554768182285,-66.64345760247113
1.06,0.0,-28.764,0.0,100.0,71.236,100.0,0.0,21.200000000000003,0.0,0.0,20.0,0.0,63.89133347061562,-63.89133347061562,59.99999999999999,-59.99999999999999,52.92868344648951,-66.59728524144467
1.07,0.0,-28.551000000000002,0.0,100.0,71.449,100.0,0.0,21.400000000000002,0.0,0.0,20.0,0.0,63.86301589094747,-63.86301589094747,59.99999999999999,-59.99999999999999,52.982307761991414,-66.55063919456308
1.08,0.0,-28.336,0.0,100.0,71.664,100.0,0.0,21.6,0.0,0.0,20.0,0.0,63.83442545220592,-63.83442545220592,59.99999999999999,-59.99999999999999,53.03642012094003,-66.50351851120881
1.09,0.0,-28.119,0.0,100.0,71.881,100.0,0.0,21.8,0.0,0.0,20.0,0.0,63.805561946634334,-63.805561946634334,59.99999999999999,-59.99999999999999,53.09102000737106,-66.45592223522287
1.1,0.0,-27.9,0.0,100.0,72.1,100.0,0.0,22.0,0.0,0.0,20.0,0.0,63.776425163941745,-63.776425163941745,59.99999999999999,-59.99999999999999,53.14610689663413,-66.40784940500802
1.11,0.0,-27.679,0.0,100.0,72.321,100.0,0.0,22.200000000000003,0.0,0.0,20.0,0.0,63.74701489128466,-63.74701489128466,59.99999999999999,-59.99999999999999,53.20168025528159,-66.3592990536333
